CODE;NM;START_DATE;END_DATE;GUID
1-6BTZ2N;Нафта Москва;01.01.1900;31.12.9999;
1-4X0UY2;Группа Мельниченко;01.01.1900;31.12.9999;
1-75Z5R7;Роснефть;01.01.1900;31.12.9999;
1-52QLXT;Базовый Элемент;01.01.1900;31.12.9999;
1-4O0JCR;USM Group;01.01.1900;31.12.9999;
1-4P8T4V;Группа компаний Газпром;01.01.1900;31.12.9999;
1-79JJ9Z;Активы МСГ;01.01.1900;31.12.9999;
1-7U1HNA;Уралкалий;01.01.1900;31.12.9999;
1-4PU123;Российские Сети;01.01.1900;31.12.9999;
1-4V983J;Ренова;01.01.1900;31.12.9999;
