CODE;NM;START_DATE;END_DATE;GUID
EKP-1;Тендерный кредит - проектное финансирование;;;1
EKP-2;Кред-ие импорт. операций с исп. АК , в т.ч. открытие непокрытых АК - проектное финансирование;;;2
1-2LUG526;Кред-ие при осущ-и расчетов в форме АК в руб., в т.ч. открытие непокр. АК - проектное финансирование;;;3
1-2LUG4YS;ТФ с исп-ем  непокрытых АК - проектное финансирование;;;4
1-5SV0RUA;ТФ с исп-ем непокрытых АК с досрочным платежом - проектное финансирование;;;5
1-M813T4;Гарантия в пользу ОАО «Рособоронэкспорт»;;;6
1-M813TE;Гарантии/контргарантии в форме резервного  аккредитива (без покрытия) ;;;7
1-M813UB;Гарантии/контргарантии в форме резервного  аккредитива (без покрытия) ;;;8
EKP-15;Гарантии/контргарантии договорная (исполнения обязательств) ;;;9
EKP-16;Гарантии/контргарантии договорная (исполнения обязательств + гарантия качества) ;;;10
EKP-17;Гарантии/контргарантии договорная (исполнения обязательств + возврата аванса+ гарантия качества) ;;;11
EKP-18;Гарантии/контргарантии договорная (исполнения обязательств + возврата аванса) ;;;12
1-2OBUU3R;Гарантии/контргарантии договорная (возврата аванса) ;;;13
1-2OBUU1Q;Гарантии/контргарантии договорная (возврата аванса) ;;;14
EKP-19;Гарантии/контргарантии договорная  (возврата аванса+ гарантия качества) ;;;15
EKP-20;Гарантия качества;;;16
1-2LUG4W2;Гарантии/контргарантии  исполнения обязательств по гос./муницип. контракту;;;17
1-2LUG50Q;Гарантии/контргарантии  исполнения обязательств по гос./муницип. контракту;;;18
EKP-27;Гарантии исполнения обяз-в по договору/контракту в рамках пакетного предложения;;;19
1-M813GA;ПФ  (кроме строительства и иных проектов, относящихся к компетенции УФН);;;20
1-M813M6;Финансирование строительства объектов жилой недвижимости ;;;21
1-M813MG;Финансирование строительства объектов коммерческой недвижимости ;;;22
1-M813GK;Кредитование под залог коммерческой недвижимости;;;23
EKP-29;Кредитование ЗПИФов недвижимости;;;24
1-2LUD1OD;Пост-экспортное финансирование ;;;25
1-2LUG4XM;Пост-экспортное финансирование ;;;26
1-2LUD1P1;Пост-экспортное финансирование по аккредитивам БПС-банк;;;27
1-2LUG4Y0;Пост-экспортное финансирование по аккредитивам БПС-банк;;;28
EKP-30;Комплементарное финансирование под залог объектов коммерческой недвижимости;;;29
EKP-31;Комплементарное финансирование  коммерческой недвижимости;;;30
EKP-32;Возвратный лизинг объектов коммерческой недвижимости;;;31
EKP-33;Финансовый лизинг объектов коммерческой недвижимости;;;32
EKP-34;Индустриальные парки;;;33
1-M813KI;Контрактное кредитование предприятий ОПК;;;34
1-WALB2F;Рамбурсные обязательства;;;35
1-1U3PZS9;Контрактное кредитование ЮЛ и ИП ;;;36
1-1U3MUAK;Контрактное кредитование подрядчиков ;;;37
EKP-35;Кредитование импортных контрактов;;;38
1-2LUG4WG;Инвестиционное кредитование  (кроме сделок, относящихся к компетенции УФН);;;39
1-2LUG514;Инвестиционное кредитование  (кроме сделок, относящихся к компетенции УФН);;;40
1-1Z5S93L;Кредитование на приобретение сельхозживотных основного стада под их залог;;;41
1-M813H4;Финансирование сделок LBO;;;42
EKP-36;Финансирование приобретения активов (судов, подвижного состава и пр.);;;43
EKP-37;Мезонинное финансирование;;;44
EKP-38;Кредитование на приобретение объектов недвижимости, принадлежащих Банку;;;45
1-M813KS;Кредитование под поруч-во «РОЭ» (ОПК);;;46
1-M813L2;Кредитование внешнеторговых контрактов;;;47
1-2LUG4YE;Предэкспортное финансирование (Структурированный);;;48
1-M813LC;ИК для объектов жилой недвижимости;;;49
1-M813LM;ИК для объектов коммерч. недвижимости;;;50
1-M813LW;ИК проектов ЖКХ;;;51
1-M813N0;ПФ проектов ЖКХ;;;52
EKP-42;Кред-ие при осущ-и расчетов в форме АК в руб., в т.ч. открытие непокр. АК - проектное финансирование;;;53
EKP-44;ТФ с исп-ем  непокрытых АК - проектное финансирование;;;54
EKP-46;ТФ с исп-ем непокрытых АК с досрочным платежом - проектное финансирование;;;55
EKP-49;Гарантии/контргарантии в форме резервного  аккредитива (без покрытия) ;;;56
EKP-52;Гарантии/контргарантии договорная (возврата аванса) ;;;57
1-F5TURLE;Поручительство с обеспечительным платежом «Мудараба»;;;58
