0,DUR,Дюрация,<X>,1 месяц,вещественная,длительность в месяцах,DUR
1,EXP,Объем,<X>*EXTVALUES.Rev_Y,1000,вещественная,отношение объема обязаьельства к выручке,EXP
2,AVP,Период доступности,<X>,1 месяц,вещественная,период доступности / длительность,AVP
3,PRIV,Льготный период,<X>,1 месяц,вещественная,льготный период / длительность,PRIV
4,BALLOON,Баллон,<X>,1000,вещественная,Объем баллона / объем обязательства,BALLOON
5,CURRENCY,Валюта,NULL,NULL,категориальная,Валюта обязательства,CURRENCY
6,PRODUCT,Продукт,NULL,NULL,категориальная,Продукт обязательства,PRODUCT
7,CREDIT_MODE,Режим кредитования,NULL,NULL,категориальная,Режим обязательства,CREDIT_MODE
8,TARGET_GR,Цель кредитования,NULL,NULL,категориальная,Цель предоставления,TARGET_GR
9,PD,PD,<X>,NULL,вещественная,Рейтинг контрагента,NULL
10,LGD,LGD,<X>,NULL,вещественная,LGD по обязательству,NULL
11,CREDIT_INSTRUMENT,Инструмент кредитования,NULL,NULL,категориальная,Инструмент кредитования (по продукту),NULL
