C_NAME;target
Кредитование жилищного и коммерческого строительства;исключить
Корпоративное кредитование;оставить
Межбанковский кредит;исключить
Тендерный кредит;исключить
Гарантийные фонды;исключить
Проектное финансирование в АПК;исключить
Договора уступки прав требования (цессии) с отсрочкой платежа;исключить
Генеральное Соглашение об овердрафтном кредитовании;исключить
Кредиты, предоставленные крупнейшим компаниям федерального значения;оставить
Уступка прав требования;исключить
Задолженность, приравненная к ссудной;исключить
Коммерческое кредитование;оставить
Проектное финансирование;исключить
Кредиты;оставить
Кредитование проектов в области ВТС (военно-технического сотрудничества);исключить
Кредиты, выданные с применением векселей в рамках Порядка 931;оставить
Контрактное кредитование, в том числе в соответствии с порядком контрактного кредитования ОПК;исключить
Погашение кредитов в других коммерческих банках;исключить
Инвестиционное кредитование;исключить
Кредитование на цели формирования рублевого и валютного покрытия для открытия аккредитивов на период резервирования покрытия в Сбербанке России;исключить
Финансирование инвестиционных проектов в области жилищного строительства с целевым фондированием кредита;исключить
Кредиты, выданные на погашение кредитов в других коммерческих банках;исключить
Овердрафтный кредит;оставить
Суммы, не взысканные по своим гарантиям;исключить
ККФЗ - кредиты, предоставленные крупнейшим компаниям федерального значения;оставить
Учтенные векселя;исключить
Тендерный кредит (кредит, предоставленный в рамках Порядка 931);исключить
Овердрафтное кредитование;оставить
Микрокредитование субъектов малого бизнеса в рамках Временного Порядка от 08.04.2009 №1683-р;исключить
