FEATURE_ID;CODE;NAME;FUNC;STEP;TYPE;COMMENT;eks_fld
1;DUR;Дюрация;<X>;1 месяц;вещественная;длительность в месяцах;DUR
2;EXP;Объем;<X>*EXTVALUES.Rev_Y;1000;вещественная;отношение объема обязаьельства к выручке;EXP
3;AVP;Период доступности;<X>;1 месяц;вещественная;период доступности / длительность;AVP
4;PRIV;Льготный период;<X>;1 месяц;вещественная;льготный период / длительность;PRIV
5;BALLOON;Баллон;<X>;1000;вещественная;Объем баллона / объем обязательства;BALLOON
6;CURRENCY;Валюта;;;категориальная;Валюта обязательства;CURRENCY
7;PRODUCT;Продукт;;;категориальная;Продукт обязательства;PRODUCT
8;CREDIT_MODE;Режим кредитования;;;категориальная;Режим обязательства;CREDIT_MODE
9;TARGET_GR;Цель кредитования;;;категориальная;Цель предоставления;TARGET_GR
10;PD;PD;<X>;;вещественная;Рейтинг контрагента;
11;LGD;LGD;<X>;;вещественная;LGD по обязательству;
12;CREDIT_INSTRUMENT;Инструмент кредитования;;;категориальная;Инструмент кредитования (по продукту);
